,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Swan Goose (<em class=""sci"">Anser cygnoides</em>)",0.002657,0.0022511,0.0022252,0.0018859,0.001905,0.0017856,0.0017325,0.0014954,0.0018182,0.0016263,0.0014665,0.0010867,0.0010083,0.0011983,0.001103,0.001214,0.0010345,0.0010702,0.0012466,8.508E-4,9.872E-4,8.025E-4,0.0010104,8.871E-4,9.651E-4,9.056E-4,0.0011812,0.0010176,0.0012263,0.0012185,0.0014539,0.001498,0.0011628,0.0012731,0.0014208,0.0013039,0.001631,0.0013533,0.0013414,0.0019117,0.0021681,0.00168,0.0014323,0.001829,0.0020263,0.0019353,0.0019152,0.0019452
"Graylag x Swan Goose (hybrid) (<em class=""sci"">Anser anser x cygnoides</em>)",1.259E-4,1.834E-4,1.314E-4,1.356E-4,1.896E-4,1.742E-4,1.389E-4,9.77E-5,7.19E-5,6.3E-5,1.105E-4,4.91E-5,6.6E-5,8.56E-5,2.013E-4,1.296E-4,1.259E-4,7.77E-5,1.648E-4,7.09E-5,8.58E-5,4.59E-5,7.13E-5,5.98E-5,5.01E-5,1.05E-4,1.342E-4,1.454E-4,1.466E-4,1.192E-4,5.34E-5,1.263E-4,9.87E-5,1.452E-4,1.245E-4,1.414E-4,1.539E-4,1.383E-4,1.61E-4,1.071E-4,1.236E-4,1.208E-4,1.409E-4,1.355E-4,2.333E-4,1.21E-4,1.059E-4,1.417E-4
"Greater White-fronted Goose (<em class=""sci"">Anser albifrons</em>)",0.0390057,0.0397532,0.0424833,0.0432467,0.0359103,0.0323494,0.028732,0.0319891,0.0296054,0.0270588,0.0235744,0.0207311,0.0183477,0.0198488,0.0208875,0.0115607,0.0060809,0.004281,0.0035441,0.0026373,0.0018241,0.0020292,0.0015453,0.0020033,0.0022937,0.0025069,0.0021744,0.0022678,0.0022127,0.0026356,0.002881,0.002617,0.0032252,0.0044113,0.0088776,0.0226541,0.0287118,0.0324101,0.0319244,0.0317993,0.0315666,0.0327224,0.0370162,0.0377571,0.0391634,0.0353069,0.0314332,0.035458
"Emperor x Greater White-fronted Goose (hybrid) (<em class=""sci"">Anser canagicus x albifrons</em>)",0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17E-5,0,0,0,0,0
"Snow x Greater White-fronted Goose (hybrid) (<em class=""sci"">Anser caerulescens x albifrons</em>)",6.3E-6,3.34E-5,3.28E-5,1.23E-5,3.79E-5,1.132E-4,3.31E-5,0,0.0015,0,0,7.0E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,1.17E-5,0,0,0,2.89E-5,1.93E-5
"Greater/Lesser White-fronted Goose (<em class=""sci"">Anser albifrons/erythropus</em>)",0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5E-6,0,0,0,0
"Tundra Bean-Goose (<em class=""sci"">Anser serrirostris</em>)",0,0,0,0,0,0,0,0,1.849E-4,4.826E-4,4.721E-4,3.155E-4,9.42E-5,9.51E-5,8.8E-6,7.5E-5,4.5E-5,3.45E-5,4.018E-4,3.332E-4,2.146E-4,2.293E-4,2.14E-4,1.495E-4,2.381E-4,1.969E-4,6.174E-4,3.004E-4,3.999E-4,2.384E-4,9.34E-5,2.256E-4,1.536E-4,7.82E-5,7.26E-5,1.492E-4,6.15E-5,1.877E-4,6.439E-4,2.142E-4,1.797E-4,9.88E-5,2.818E-4,8.5E-6,0,0,0,0.0015
"Taiga/Tundra Bean-Goose (<em class=""sci"">Anser fabalis/serrirostris</em>)",3.15E-5,5.84E-5,0,6.2E-6,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.843E-4,1.526E-4,1.185E-4,3.68E-5,7.26E-5,3.85E-5,2.58E-5
"Domestic goose sp. (Domestic type) (<em class=""sci"">Anser sp. (Domestic type)</em>)",0.0053582,0.0049692,0.0055013,0.0050291,0.0053548,0.0042592,0.0039874,0.0046718,0.0048384,0.0044906,0.0048013,0.003856,0.0032982,0.0034334,0.0031778,0.0036762,0.0032384,0.0030554,0.0038326,0.0034881,0.0032942,0.0029234,0.0031738,0.0032193,0.0036222,0.0034519,0.0037717,0.0035567,0.0043187,0.0041057,0.003668,0.0043226,0.0039492,0.0039646,0.0043766,0.0049409,0.0046263,0.0045439,0.004625,0.0051007,0.0054483,0.0043044,0.0055765,0.0053261,0.0058457,0.0053099,0.0048796,0.0049532
"Brant (<em class=""sci"">Branta bernicla</em>)",0.0191408,0.0196932,0.0209625,0.016357,0.0147565,0.0151643,0.0134964,0.020036,0.0176071,0.0143215,0.0147755,0.0130542,0.0124674,0.0119264,0.0126323,0.0110765,0.0089685,0.0074054,0.006913,0.0060333,0.0046676,0.0041386,0.0035423,0.0041861,0.0042364,0.0045676,0.0048455,0.0046906,0.0041587,0.0036554,0.0040681,0.0040518,0.0035982,0.0034286,0.0027898,0.0025922,0.0019593,0.0025486,0.00279,0.0053644,0.0109191,0.0157683,0.0172343,0.0188743,0.0175001,0.0183973,0.0145905,0.0175326
"Barnacle Goose (<em class=""sci"">Branta leucopsis</em>)",0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,8.5E-6,0,0,0,0
