,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Chimney/Vaux's Swift (<em class=""sci"">Chaetura pelagica/vauxi</em>)",6.3E-6,0,0,0,0,0,0,0,0,0,0,0,9.4E-6,6.66E-5,8.75E-5,6.82E-5,6.3E-5,8.63E-5,1.442E-4,1.56E-4,6.44E-5,9.17E-5,7.13E-5,7.97E-5,1.003E-4,1.05E-4,6.71E-5,1.357E-4,5.33E-5,7.95E-5,1.467E-4,1.263E-4,2.413E-4,1.675E-4,2.593E-4,8.64E-5,8.21E-5,2.96E-5,5.37E-5,8.2E-6,5.62E-5,1.1E-5,2.35E-5,8.5E-6,3.68E-5,1.21E-5,0,1.29E-5
"Chaetura sp. (<em class=""sci"">Chaetura sp.</em>)",0,0,0,0,9.5E-6,0,6.6E-6,0,0,0,0,0,0,0,0,0,9.0E-6,0,1.03E-5,1.42E-5,2.15E-5,0,0,0,0,1.31E-5,1.34E-5,9.7E-6,1.33E-5,1.32E-5,1.33E-5,0,4.39E-5,3.35E-5,2.07E-5,0,3.08E-5,0,2.15E-5,8.2E-6,0,0,0,8.5E-6,0,0,0,0
"Common Swift (<em class=""sci"">Apus apus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2E-6,0,0,0,0,0,0,0,0
"White-throated Swift (<em class=""sci"">Aeronautes saxatalis</em>)",0.0282012,0.0269635,0.0241319,0.0220209,0.0222153,0.0206865,0.0193487,0.0279037,0.0320503,0.0371416,0.0379582,0.0439651,0.0484842,0.0569214,0.0613406,0.0661178,0.0662067,0.0643265,0.0699958,0.0682165,0.063791,0.0614482,0.0563672,0.047901,0.0385912,0.0322225,0.0269255,0.0201095,0.0176213,0.0176282,0.0168327,0.0185717,0.0187369,0.0182261,0.0212296,0.0183024,0.017182,0.0144023,0.0145189,0.0136377,0.0163899,0.0175911,0.0166825,0.0179852,0.019858,0.0222921,0.0286613,0.0272392
"large swift sp. (<em class=""sci"">Apodidae sp. (large swift sp.)</em>)",6.3E-6,0,0,0,0,0,0.0015,9.8E-6,0,0.0015,0,0,9.4E-6,1.9E-5,0,6.8E-6,9.0E-6,8.6E-6,2.06E-5,1.42E-5,1.07E-5,1.15E-5,1.19E-5,0,0,2.63E-5,0,0,4.0E-5,0,1.33E-5,0,1.1E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-5,0
"small swift sp. (<em class=""sci"">Apodidae sp. (small swift sp.)</em>)",0,0,8.2E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33E-5,0,0,0,0,0.0015,0,9.9E-6,0,0,0,0,0,0,0,0,0,0
"swift sp. (<em class=""sci"">Apodidae sp.</em>)",1.511E-4,1.417E-4,1.642E-4,1.356E-4,1.137E-4,1.655E-4,2.248E-4,2.932E-4,2.157E-4,2.623E-4,3.013E-4,2.945E-4,4.618E-4,9.32E-4,9.279E-4,0.0011868,9.985E-4,0.0010789,0.0012054,7.515E-4,5.794E-4,2.751E-4,3.328E-4,4.186E-4,3.635E-4,3.281E-4,3.624E-4,2.229E-4,4.265E-4,2.384E-4,3.735E-4,3.429E-4,5.485E-4,8.153E-4,0.0013379,0.0010604,9.232E-4,7.211E-4,2.253E-4,1.318E-4,1.91E-4,1.318E-4,2.348E-4,1.439E-4,1.105E-4,2.056E-4,2.406E-4,1.739E-4
"Mexican Violetear (<em class=""sci"">Colibri thalassinus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rivoli's Hummingbird (<em class=""sci"">Eugenes fulgens</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,1.9E-5,2.63E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,1.07E-5,8.2E-6,0.0015,0,1.17E-5,0.0015,0,0,0,0
"Blue-throated Mountain-gem (<em class=""sci"">Lampornis clemenciae</em>)",0,0.0015,8.2E-6,0,0.0015,0,0.0015,0,0,0,0,0,9.4E-6,0,0.0015,0,0.0015,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,4.15E-5,0,0,0,0,0,0,0,0,0,0.0015,0,0,0
"Ruby-throated Hummingbird (<em class=""sci"">Archilochus colubris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,3.97E-5,0,1.354E-4,0.0010312,6.031E-4,0,2.36E-5,0.0015,0,6.44E-5,4.94E-5,0,1.427E-4,0,0,0,0,0,0
"Black-chinned Hummingbird (<em class=""sci"">Archilochus alexandri</em>)",6.3E-6,8.3E-6,0,0.0015,0.0015,0,0,0.0015,2.05E-5,2.308E-4,6.73E-4,0.0034493,0.0173865,0.0331162,0.0447777,0.0488893,0.049691,0.0465381,0.0457023,0.0418856,0.0367831,0.0337277,0.0331641,0.033728,0.0357335,0.0359107,0.0360393,0.0359936,0.0394279,0.0411501,0.0403078,0.0408613,0.0338537,0.0276853,0.0179731,0.0069439,0.0010566,2.766E-4,7.51E-5,9.06E-5,4.49E-5,0.0015,1.17E-5,1.69E-5,1.23E-5,0.0015,0,6.4E-6
"Ruby-throated/Black-chinned Hummingbird (<em class=""sci"">Archilochus colubris/alexandri</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-5,0,0,0,0,0,0,0,9.0E-6,1.1E-5,4.47E-5,3.11E-5,7.9E-6,1.03E-5,9.9E-6,1.07E-5,8.2E-6,0,1.1E-5,0,0,0,0,0,0
"Anna's Hummingbird (<em class=""sci"">Calypte anna</em>)",0.3939984,0.3977739,0.4035258,0.4121352,0.4175031,0.4244615,0.4201289,0.4142265,0.4242144,0.4290376,0.4346053,0.4348762,0.4409944,0.4399924,0.4357136,0.4254418,0.4166074,0.4076315,0.3962993,0.3587639,0.3358013,0.3182235,0.3104473,0.3158314,0.3285079,0.3273176,0.3344608,0.3445753,0.3688202,0.3705896,0.3806837,0.404994,0.4287548,0.43144,0.4423887,0.4420923,0.4389246,0.4227137,0.4140617,0.4079024,0.3923588,0.3762971,0.3724979,0.3769867,0.3905168,0.3959843,0.4178031,0.4097028
"Black-chinned x Anna's Hummingbird (hybrid) (<em class=""sci"">Archilochus alexandri x Calypte anna</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8E-6,6.8E-6,0,0,0,0.0015,0,0.0015,0.0015,1.0E-5,1.25E-5,1.31E-5,1.34E-5,0,0,0.0015,0,0.0015,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0
"Costa's Hummingbird (<em class=""sci"">Calypte costae</em>)",0.0124478,0.0136818,0.0141803,0.0155311,0.0171827,0.0162705,0.0180526,0.0182963,0.020617,0.0231558,0.0252619,0.0269848,0.0269985,0.029816,0.0316114,0.0324519,0.0325276,0.0295956,0.0315877,0.0313858,0.0233167,0.0204751,0.0189357,0.0178009,0.0165695,0.0157372,0.0151405,0.0150797,0.0143956,0.0141582,0.013805,0.0138791,0.013932,0.0145295,0.0136172,0.0116805,0.0126993,0.0124662,0.0132419,0.0141651,0.0139635,0.0143188,0.0131957,0.014107,0.0137668,0.0141155,0.0132431,0.0162121
"Black-chinned x Costa's Hummingbird (hybrid) (<em class=""sci"">Archilochus alexandri x Calypte costae</em>)",0,0,0,0,0,0,0,0,0,0,1.0E-5,0,9.4E-6,1.9E-5,3.5E-5,3.41E-5,1.8E-5,8.6E-6,0,7.1E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anna's x Costa's Hummingbird (hybrid) (<em class=""sci"">Calypte anna x costae</em>)",1.637E-4,1.167E-4,4.11E-5,1.23E-5,6.63E-5,1.307E-4,7.27E-5,7.82E-5,8.22E-5,5.25E-5,7.03E-5,7.0E-6,2.83E-5,2.85E-5,1.75E-5,2.05E-5,9.0E-6,4.32E-5,1.03E-5,2.84E-5,1.07E-5,0,1.19E-5,1.99E-5,0,0,1.34E-5,0,2.67E-5,1.32E-5,2.67E-5,5.41E-5,4.39E-5,2.23E-5,1.04E-5,2.36E-5,3.08E-5,9.9E-6,2.15E-5,7.42E-5,8.99E-5,8.78E-5,8.22E-5,1.185E-4,1.842E-4,1.693E-4,8.66E-5,1.739E-4
"Anna's/Costa's Hummingbird (<em class=""sci"">Calypte anna/costae</em>)",4.344E-4,3.335E-4,3.695E-4,5.362E-4,3.696E-4,6.533E-4,8.398E-4,4.985E-4,7.807E-4,5.876E-4,5.524E-4,6.941E-4,4.523E-4,4.66E-4,3.064E-4,3.683E-4,2.609E-4,3.539E-4,1.751E-4,3.049E-4,2.253E-4,2.866E-4,1.664E-4,1.694E-4,1.504E-4,1.575E-4,1.342E-4,1.26E-4,3.066E-4,3.046E-4,4.268E-4,3.158E-4,2.304E-4,3.015E-4,3.215E-4,3.063E-4,3.898E-4,4.84E-4,2.79E-4,4.45E-4,4.156E-4,6.588E-4,6.222E-4,4.064E-4,5.404E-4,3.992E-4,3.754E-4,5.282E-4
"Calliope Hummingbird (<em class=""sci"">Selasphorus calliope</em>)",0,0,0,4.93E-5,4.74E-5,3.48E-5,6.6E-6,3.91E-5,0,1.05E-5,7.03E-5,4.627E-4,0.0039108,0.0065624,0.0102512,0.0087166,0.0080599,0.0048679,0.0040386,0.0050691,0.0061377,0.0091714,0.0093549,0.0083224,0.0068434,0.0057489,0.0052213,0.0040994,0.0028125,0.0027283,0.0017873,0.0013356,9.654E-4,5.026E-4,4.771E-4,9.74E-4,2.05E-5,1.98E-5,0,0,0,0,0,0,0,0,0,0
"Black-chinned x Calliope Hummingbird (hybrid) (<em class=""sci"">Archilochus alexandri x Selasphorus calliope</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anna's x Calliope Hummingbird (hybrid) (<em class=""sci"">Calypte anna x Selasphorus calliope</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rufous Hummingbird (<em class=""sci"">Selasphorus rufus</em>)",1.7E-4,8.34E-5,6.57E-5,1.233E-4,3.981E-4,0.0018727,0.0040403,0.0066461,0.0134878,0.0203439,0.0278936,0.0390855,0.0523573,0.0511579,0.0468962,0.0305763,0.0165607,0.0087518,0.0032762,0.0017653,7.511E-4,0.0010662,0.0027815,0.0072459,0.0133609,0.0183622,0.0215833,0.0220865,0.0255655,0.0291243,0.0285703,0.0286516,0.0238161,0.0182037,0.0112215,0.0051215,0.0019182,8.989E-4,3.327E-4,2.142E-4,1.685E-4,1.208E-4,1.526E-4,1.355E-4,1.597E-4,1.331E-4,1.732E-4,1.353E-4
"Black-chinned x Rufous Hummingbird (hybrid) (<em class=""sci"">Archilochus alexandri x Selasphorus rufus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8E-6,6.8E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anna's x Rufous Hummingbird (hybrid) (<em class=""sci"">Calypte anna x Selasphorus rufus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliope x Rufous Hummingbird (hybrid) (<em class=""sci"">Selasphorus calliope x rufus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8E-6,1.36E-5,1.8E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allen's Hummingbird (<em class=""sci"">Selasphorus sasin</em>)",0.0990348,0.0935468,0.0925535,0.0997196,0.1086406,0.10784,0.1115292,0.1208413,0.1274102,0.1320519,0.1372781,0.1387237,0.1481761,0.1450758,0.1461775,0.1415661,0.1399066,0.1457165,0.1491712,0.1430263,0.1417887,0.1316664,0.1283773,0.121985,0.1199223,0.1125359,0.109742,0.1043272,0.1006491,0.092366,0.0920198,0.0943383,0.0909749,0.0965245,0.0947398,0.0937348,0.0929159,0.0946322,0.0874674,0.0910799,0.0867914,0.0797966,0.0861363,0.0862427,0.0943287,0.0975869,0.0967248,0.1015948
"Black-chinned x Allen's Hummingbird (hybrid) (<em class=""sci"">Archilochus alexandri x Selasphorus sasin</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03E-5,0,0,0,0,0,0,0,0,0,1.33E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anna's x Allen's Hummingbird (hybrid) (<em class=""sci"">Calypte anna x Selasphorus sasin</em>)",1.89E-5,0,0,6.2E-6,2.84E-5,3.48E-5,3.97E-5,0,1.03E-5,6.3E-5,3.01E-5,7.0E-6,3.77E-5,2.85E-5,0.0015,1.36E-5,9.0E-6,0,0,7.1E-6,0,1.15E-5,0,0,0,0,0,0,0,0,0,0,2.19E-5,1.12E-5,1.04E-5,0,3.08E-5,9.9E-6,1.07E-5,0,1.12E-5,0,2.35E-5,8.5E-6,0,0,0,6.4E-6
"Rufous x Allen's Hummingbird (hybrid) (<em class=""sci"">Selasphorus rufus x sasin</em>)",0,0,0,0,0,0,0,0,0,0,0,0,9.4E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rufous/Allen's Hummingbird (<em class=""sci"">Selasphorus rufus/sasin</em>)",0.0085882,0.0083375,0.0079892,0.0090906,0.0114393,0.0143717,0.0166308,0.02159,0.0289994,0.035295,0.0415742,0.0494125,0.0578041,0.0581007,0.0553703,0.0455268,0.0390314,0.0314081,0.0278891,0.021751,0.0188959,0.0173683,0.0178896,0.0194454,0.0238015,0.0273268,0.0293952,0.0339003,0.0424803,0.0424348,0.0445227,0.0450033,0.0435183,0.0417793,0.0349713,0.0280034,0.0222699,0.0178794,0.0161285,0.0135388,0.0116493,0.0103658,0.0103899,0.009797,0.0110159,0.0102933,0.0091528,0.0093395
"Broad-tailed Hummingbird (<em class=""sci"">Selasphorus platycercus</em>)",2.52E-5,3.34E-5,8.2E-6,0.0015,1.137E-4,5.23E-5,1.32E-5,0,0,0,0.0015,1.4E-5,0,4.76E-5,6.13E-5,9.55E-5,1.889E-4,3.28E-4,4.018E-4,5.743E-4,1.502E-4,2.637E-4,2.021E-4,1.993E-4,4.136E-4,3.15E-4,1.208E-4,1.648E-4,1.2E-4,1.06E-4,6.402E-4,2.256E-4,9.87E-5,1.564E-4,6.22E-5,2.36E-5,2.05E-5,2.96E-5,1.07E-5,8.2E-6,0,3.29E-5,1.17E-5,2.54E-5,0,0.0015,9.6E-6,1.29E-5
"Anna's Hummingbird x Selasphorus sp. (hybrid) (<em class=""sci"">Calypte anna x Selasphorus sp.</em>)",0,1.67E-5,0,6.2E-6,0,0,0,9.8E-6,0,1.05E-5,4.02E-5,2.8E-5,5.65E-5,6.66E-5,3.5E-5,4.09E-5,2.7E-5,1.73E-5,0,2.13E-5,1.07E-5,3.44E-5,0,0,0,1.31E-5,1.34E-5,5.81E-5,9.33E-5,5.3E-5,9.34E-5,5.41E-5,4.39E-5,4.47E-5,2.07E-5,2.36E-5,0,0,0,3.3E-5,2.25E-5,0,0,0,0,0,0,0
"Selasphorus sp. (<em class=""sci"">Selasphorus sp.</em>)",1.637E-4,2.5E-5,4.93E-5,7.4E-5,1.516E-4,1.394E-4,2.116E-4,2.639E-4,2.568E-4,2.308E-4,3.214E-4,4.347E-4,5.748E-4,5.516E-4,5.865E-4,5.32E-4,4.138E-4,5.265E-4,3.297E-4,3.049E-4,3.756E-4,1.834E-4,2.972E-4,4.186E-4,8.022E-4,7.088E-4,7.651E-4,7.075E-4,7.464E-4,6.887E-4,8.67E-4,5.956E-4,4.827E-4,3.685E-4,4.771E-4,3.142E-4,2.052E-4,1.778E-4,1.61E-4,1.895E-4,1.348E-4,1.1E-5,1.291E-4,5.93E-5,1.965E-4,1.21E-4,1.54E-4,1.417E-4
"Broad-billed Hummingbird (<em class=""sci"">Cynanthus latirostris</em>)",2.707E-4,3.252E-4,1.889E-4,3.944E-4,7.487E-4,2.961E-4,3.968E-4,3.225E-4,4.006E-4,7.764E-4,3.616E-4,3.51E-5,3.77E-5,0,8.8E-6,6.8E-6,0.0015,0,0,1.42E-5,0,0.0015,0,1.0E-5,0,0,0,0,0,0,0,0,2.413E-4,6.7E-5,2.178E-4,6.28E-5,2.975E-4,1.877E-4,0.0010409,0.0012278,4.943E-4,4.941E-4,3.874E-4,4.064E-4,2.825E-4,4.112E-4,2.021E-4,1.353E-4
"Anna's x Broad-billed Hummingbird (hybrid) (<em class=""sci"">Calypte anna x Cynanthus latirostris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36E-5,2.05E-5,4.94E-5,0,0,0,0,0,0,0,0,0,0
"Costa's x Broad-billed Hummingbird (hybrid) (<em class=""sci"">Calypte costae x Cynanthus latirostris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51E-5,0,1.34E-5,1.94E-5,1.33E-5,2.65E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xantus's Hummingbird (<em class=""sci"">Basilinna xantusii</em>)",0,0,0,6.2E-6,1.9E-5,8.7E-6,1.32E-5,0.0015,2.05E-5,1.05E-5,2.01E-5,0.0015,0,0,0,2.73E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Violet-crowned Hummingbird (<em class=""sci"">Ramosomyia violiceps</em>)",0,0,0,0,0,0,0,0,0,0,0,7.0E-6,0,0,0,0,0,0,0.0015,2.84E-5,0,0,0,0,1.25E-5,4.2E-4,1.745E-4,1.94E-5,1.33E-5,0,0.0015,0,0,0.0015,1.04E-5,0.0015,0,0,0,0,0.0015,0.0015,1.17E-5,1.69E-5,0,0,0,0
"hummingbird sp. (<em class=""sci"">Trochilidae sp.</em>)",0.0130019,0.014699,0.0145415,0.0153955,0.0161118,0.0207388,0.0235345,0.0203194,0.0209971,0.0231348,0.0249204,0.0273073,0.0302402,0.0332208,0.0357521,0.0361622,0.0367285,0.0370095,0.0381608,0.0373907,0.0376093,0.0403884,0.0390362,0.0407447,0.0416244,0.0421846,0.0408848,0.0411785,0.0408408,0.0419316,0.0414816,0.042648,0.0401066,0.0418351,0.0371596,0.0339576,0.0299735,0.0268981,0.0244986,0.0221911,0.020333,0.0190295,0.0181031,0.0172824,0.01863,0.0193892,0.0171217,0.0162121
"Ridgway's Rail (<em class=""sci"">Rallus obsoletus</em>)",0.0074171,0.0089712,0.0070942,0.0073711,0.0062552,0.0060884,0.004404,0.0060303,0.0063176,0.0061063,0.0062376,0.0056998,0.0051924,0.0048885,0.0044121,0.0047266,0.0042009,0.0042464,0.0047083,0.0038,0.0038307,0.0045971,0.0046834,0.0050333,0.0048255,0.0054339,0.0059864,0.0058342,0.0061315,0.0074963,0.0071226,0.0070478,0.0078436,0.0069353,0.0056834,0.0051765,0.0055187,0.0069246,0.0059127,0.0060072,0.0067514,0.0071923,0.0072083,0.0080527,0.0075036,0.0073541,0.0061018,0.0071753
"large rail sp. (<em class=""sci"">Rallus sp. (large Rallus sp.)</em>)",0,8.3E-6,0,0,0,8.7E-6,0,0,0,0,0,0,0,0,0,0,0,1.73E-5,0,0,0,0,0,0,0,0.0015,0,0,1.33E-5,0,0,0,1.1E-5,0,0,2.36E-5,0.0015,0,1.07E-5,0,0,2.2E-5,0,0,0,0,0,6.4E-6
"Virginia Rail (<em class=""sci"">Rallus limicola</em>)",0.0156967,0.0142655,0.0122425,0.0126961,0.0114014,0.0111315,0.0084907,0.011875,0.0119264,0.0135137,0.0128168,0.0115679,0.0113083,0.0109658,0.010864,0.0096578,0.0085187,0.0073795,0.0069233,0.0061467,0.0061055,0.0064085,0.0060504,0.0066081,0.0062543,0.006917,0.0085501,0.0105636,0.0113432,0.0136284,0.0160858,0.0196997,0.0229384,0.0244466,0.0258655,0.0246964,0.0242702,0.0236581,0.022009,0.0221252,0.0214676,0.0219504,0.0227638,0.0209573,0.0187282,0.0183006,0.0209426,0.0156647
"Rallus sp. (<em class=""sci"">Rallus sp.</em>)",0,0,0,6.2E-6,0,0,0,0,0,1.05E-5,0,7.0E-6,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,9.7E-6,0,0,0,0,0,0,0,7.9E-6,0,0,0,0,0,0,0,0,0,0,0,0
"Sora (<em class=""sci"">Porzana carolina</em>)",0.0231767,0.0217942,0.0205273,0.0196234,0.017486,0.0159831,0.0121938,0.0165566,0.0171654,0.0178468,0.0187832,0.0182773,0.0197706,0.0189167,0.0181124,0.0141048,0.0094992,0.0060848,0.0038738,0.0032896,0.0030903,0.0035998,0.0033758,0.0035183,0.0027073,0.0031632,0.0035167,0.0045937,0.0059182,0.0085956,0.0118709,0.016081,0.0206567,0.0234638,0.0242372,0.0250577,0.0267731,0.0287058,0.02863,0.0293354,0.0303085,0.031855,0.0329307,0.0316943,0.0285774,0.0270094,0.0275642,0.023658
"Common Gallinule (<em class=""sci"">Gallinula galeata</em>)",0.0232397,0.022061,0.0223748,0.0220455,0.0220921,0.01911,0.0161283,0.0201533,0.0225585,0.0212462,0.0193055,0.0179057,0.0167174,0.015997,0.0157575,0.0152643,0.0157331,0.0142842,0.015186,0.014314,0.0132732,0.0123928,0.0127902,0.0146414,0.0184872,0.0165116,0.0174626,0.0191985,0.0196473,0.0187937,0.01862,0.019465,0.0207225,0.0194434,0.0192487,0.0182709,0.0170794,0.0191339,0.0180171,0.0197025,0.0213665,0.0216759,0.0241374,0.0228118,0.0230019,0.0215785,0.0206154,0.0210751
"American Coot (<em class=""sci"">Fulica americana</em>)",0.2950895,0.2924045,0.2897224,0.2840899,0.2780605,0.2475677,0.2163663,0.2615231,0.2614975,0.2523948,0.2396717,0.2250694,0.2152153,0.1989348,0.1822535,0.1538703,0.133295,0.1153182,0.1029434,0.0974116,0.0858093,0.0820723,0.0810917,0.0847088,0.0882747,0.0869417,0.0927895,0.0963318,0.0994228,0.0993457,0.1026636,0.1100222,0.1149555,0.1263318,0.135384,0.1524987,0.1723632,0.1937788,0.2129436,0.2367764,0.258195,0.2715304,0.2817948,0.2950033,0.2970231,0.287221,0.2583082,0.279368
"Common Gallinule x American Coot (hybrid) (<em class=""sci"">Gallinula galeata x Fulica americana</em>)",0,0,0,0,0,3.48E-5,0,0,0,0,0,0,9.4E-6,0,0,0,9.0E-6,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1E-5,0,0,0,0,0,0
"Purple Gallinule (<em class=""sci"">Porphyrio martinica</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1E-5,1.12E-5,2.07E-5,3.378E-4,1.334E-4,7.9E-5,3.22E-5,2.47E-5,0,0.0015,0,6.266E-4,1.351E-4,1.693E-4,2.89E-5,3.22E-5
"moorhen/coot/gallinule sp. (<em class=""sci"">Gallinula/Fulica/Porphyrio sp.</em>)",3.78E-5,8.3E-6,5.75E-5,1.85E-5,4.74E-5,3.48E-5,7.94E-5,2.93E-5,4.11E-5,2.1E-5,0,2.1E-5,1.88E-5,1.9E-5,2.63E-5,2.73E-5,2.7E-5,0,2.06E-5,4.96E-5,2.15E-5,1.15E-5,2.38E-5,1.99E-5,3.76E-5,3.94E-5,1.34E-5,1.94E-5,4.0E-5,1.32E-5,2.67E-5,1.8E-5,3.29E-5,0,3.11E-5,7.9E-6,4.1E-5,1.98E-5,0.0015,8.2E-6,3.37E-5,1.1E-5,4.7E-5,2.54E-5,1.23E-5,0,9.6E-6,3.86E-5
"Yellow Rail (<em class=""sci"">Coturnicops noveboracensis</em>)",0,2.5E-5,4.93E-5,6.2E-6,0,0,0,0,0.0015,0,0,0.0015,0,0,8.8E-6,0,9.0E-6,2.59E-5,1.03E-5,2.13E-5,2.15E-5,3.44E-5,1.783E-4,3.389E-4,3.259E-4,2.756E-4,1.611E-4,3.101E-4,1.333E-4,1.722E-4,4.0E-5,0,0,0,0,0,1.03E-5,9.9E-6,1.07E-5,0.0015,0,0.0015,0,0.0015,0.0015,7.26E-5,9.6E-6,6.4E-6
"Black Rail (<em class=""sci"">Laterallus jamaicensis</em>)",2.456E-4,4.169E-4,4.105E-4,4.376E-4,3.981E-4,6.533E-4,8.596E-4,9.969E-4,8.834E-4,0.001259,0.0011451,8.693E-4,8.293E-4,7.133E-4,7.966E-4,8.867E-4,5.757E-4,5.61E-4,7.006E-4,7.799E-4,5.365E-4,5.617E-4,7.251E-4,0.0011163,0.0010528,0.0010238,0.0013691,9.304E-4,4.265E-4,4.238E-4,3.068E-4,2.527E-4,1.646E-4,2.68E-4,2.178E-4,2.749E-4,2.154E-4,1.58E-4,2.575E-4,1.071E-4,1.46E-4,1.318E-4,1.644E-4,2.117E-4,3.193E-4,5.806E-4,7.411E-4,2.705E-4
"rail/crake sp. (<em class=""sci"">Rallidae sp. (rail/crake sp.)</em>)",7.56E-5,4.17E-5,2.46E-5,3.7E-5,0,2.61E-5,0.0015,7.82E-5,3.08E-5,8.39E-5,3.01E-5,3.51E-5,4.71E-5,6.66E-5,8.8E-6,6.14E-5,9.0E-6,5.18E-5,1.03E-5,2.84E-5,4.29E-5,2.29E-5,1.19E-5,4.98E-5,5.01E-5,5.25E-5,4.03E-5,4.85E-5,4.0E-5,7.95E-5,2.67E-5,3.61E-5,6.58E-5,4.47E-5,5.19E-5,1.57E-5,2.05E-5,2.96E-5,7.51E-5,3.3E-5,3.37E-5,4.39E-5,2.35E-5,7.62E-5,4.91E-5,7.26E-5,9.6E-6,6.44E-5
"Gray Crowned-Crane (<em class=""sci"">Balearica regulorum</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19E-5,1.12E-5,0,0,0,9.9E-6,0,1.65E-5,0,0,0,0,0,0,0,0
"Demoiselle Crane (<em class=""sci"">Anthropoides virgo</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9E-6,3.08E-5,1.98E-5,0.0015,8.2E-6,0.0015,2.2E-5,0.0015,8.5E-6,0,0,0,0
